Команда,Номер наклейки,Количество
MEX,17,2
RSA,2,1
RSA,6,1
KOR,11,1
CZE,3,1
CZE,11,1
CZE,12,1
MAR,8,1
MAR,11,1
MAR,20,1
HAI,1,1
HAI,10,1
HAI,16,1
SCO,2,1
SCO,8,1
SCO,17,1
GER,3,1
GER,13,3
GER,14,1
GER,7,1
CUW,1,3
CUW,13,1
CUW,10,1
CUW,14,1
CUW,16,1
CIV,2,1
CIV,14,2
CIV,20,1
CIV,18,1
CIV,10,1
ECU,8,2
ECU,19,1
ECU,12,1
BEL,1,1
BEL,7,1
EGY,4,1
EGY,10,1
EGY,15,1
EGY,19,1
IRN,12,1
IRN,14,1
IRN,19,1
SEN,10,1
SEN,12,1
SEN,17,1
SEN,18,1
NZL,2,3
NZL,9,1
IRQ,5,1
IRQ,7,1
IRQ,8,3
IRQ,17,1
NOR,9,2
NOR,17,1
NOR,18,1
NOR,20,1
POR,6,1
POR,11,1
POR,17,2
COD,19,1
UZB,1,1
UZB,4,1
COL,3,1
COL,4,1
COL,16,2
CAN,1,1
CAN,7,1
CAN,15,1
BIH,2,1
QAT,5,1
QAT,7,1
QAT,10,2
SUI,1,2
SUI,2,1
SUI,15,1
SUI,16,1
USA,5,1
USA,19,1
PAR,1,1
PAR,13,1
AUS,7,1
TUR,6,1
TUR,10,1
TUR,11,1
NED,7,2
NED,10,1
NED,18,1
JPN,2,1
JPN,3,1
JPN,6,1
JPN,19,2
SWE,6,1
SWE,10,1
TUN,6,1
TUN,11,2
ESP,8,2
CPV,1,1
CPV,11,1
CPV,16,1
KSA,6,1
KSA,13,1
KSA,15,1
URU,10,2
URU,16,1
ARG,1,1
ARG,5,2
ARG,7,1
ARG,12,2
ARG,13,1
ARG,20,1
ALG,4,2
ALG,16,1
ALG,18,1
AUT,14,4
AUT,16,2
JOR,1,1
JOR,18,1
ENG,14,1
CRO,2,1
CRO,3,1
CRO,10,1
CRO,13,1
CRO,18,1
GHA,3,1
GHA,9,1
GHA,19,1
PAN,5,2
PAN,19,1
FWC,13,1
FWC,16,1
